County,Total EV Count,Average Electric Range,Average Model Year,Popular Brand,Popular Model,Popular EV Type,BEV Count,PHEV Count,Median Income,Population,BEV Proportion
Adams,19,131.8421052631579,2018.1052631578948,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10.0,9.0,64498.0,21200.0,0.5263157894736842
Asotin,41,89.41463414634147,2018.9756097560976,TOYOTA,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),17.0,24.0,67820.0,22650.0,0.4146341463414634
Benton,1120,125.32857142857142,2018.7169642857143,TESLA,MODEL 3,Battery Electric Vehicle (BEV),576.0,544.0,87992.0,215500.0,0.5142857142857142
Chelan,510,142.2313725490196,2018.5333333333333,TESLA,LEAF,Battery Electric Vehicle (BEV),330.0,180.0,84430.0,81500.0,0.6470588235294118
Clallam,573,110.72251308900523,2018.1867364746945,CHEVROLET,LEAF,Battery Electric Vehicle (BEV),299.0,274.0,68924.0,78075.0,0.5218150087260035
Clark,4906,120.98838157358337,2018.6814105177334,TESLA,MODEL 3,Battery Electric Vehicle (BEV),2688.0,2218.0,94198.0,527400.0,0.5479005299633102
Columbia,5,234.2,2016.4,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),5.0,0.0,65040.0,3950.0,1.0
Cowlitz,435,122.9816091954023,2018.7908045977013,TESLA,MODEL 3,Plug-in Hybrid Electric Vehicle (PHEV),217.0,218.0,74250.0,113000.0,0.49885057471264366
Douglas,170,132.11764705882354,2018.4176470588236,TESLA,LEAF,Battery Electric Vehicle (BEV),103.0,67.0,86676.0,44500.0,0.6058823529411764
Ferry,13,183.84615384615384,2018.6923076923076,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10.0,3.0,58973.0,7300.0,0.7692307692307693
Franklin,299,125.4448160535117,2018.4113712374583,TESLA,MODEL 3,Battery Electric Vehicle (BEV),161.0,138.0,80423.0,101100.0,0.5384615384615384
Garfield,1,42.0,2021.0,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),0.0,1.0,66568.0,2300.0,0.0
Grant,257,130.43579766536965,2018.7470817120623,TESLA,MODEL 3,Battery Electric Vehicle (BEV),132.0,125.0,65943.0,103300.0,0.5136186770428015
Grays Harbor,312,117.60897435897436,2018.400641025641,TESLA,MODEL 3,Battery Electric Vehicle (BEV),163.0,149.0,64341.0,77000.0,0.5224358974358975
Island,925,134.16,2018.2291891891891,TESLA,MODEL 3,Battery Electric Vehicle (BEV),559.0,366.0,85484.0,88150.0,0.6043243243243244
Jefferson,545,124.28623853211009,2017.7431192660551,NISSAN,LEAF,Battery Electric Vehicle (BEV),342.0,203.0,71490.0,33425.0,0.6275229357798165
King,38106,141.21723613079305,2018.7172623733795,TESLA,MODEL 3,Battery Electric Vehicle (BEV),24683.0,13423.0,119926.0,2347800.0,0.6477457618222852
Kitsap,2796,122.94706723891274,2018.3687410586551,TESLA,LEAF,Battery Electric Vehicle (BEV),1646.0,1150.0,96931.0,283200.0,0.5886981402002861
Kittitas,265,151.69811320754718,2018.6075471698114,TESLA,MODEL 3,Battery Electric Vehicle (BEV),170.0,95.0,74137.0,47300.0,0.6415094339622641
Klickitat,136,135.21323529411765,2018.6470588235295,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),75.0,61.0,72725.0,23250.0,0.5514705882352942
Lewis,443,98.04288939051919,2019.3814898419864,TESLA,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),170.0,273.0,70227.0,84075.0,0.3837471783295711
Lincoln,29,85.96551724137932,2018.344827586207,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),8.0,21.0,70603.0,11125.0,0.27586206896551724
Mason,408,129.3578431372549,2018.3480392156862,TESLA,MODEL 3,Battery Electric Vehicle (BEV),227.0,181.0,80639.0,67000.0,0.5563725490196079
Okanogan,125,123.536,2018.904,TESLA,MODEL 3,Plug-in Hybrid Electric Vehicle (PHEV),60.0,65.0,60623.0,43000.0,0.48
Pacific,133,92.82706766917293,2019.0977443609022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),46.0,87.0,57475.0,23775.0,0.3458646616541353
Pend Oreille,30,114.73333333333333,2019.9,TESLA,MODEL 3,Plug-in Hybrid Electric Vehicle (PHEV),12.0,18.0,61317.0,13725.0,0.4
Pierce,5945,128.598149705635,2018.5276703111858,TESLA,MODEL 3,Battery Electric Vehicle (BEV),3408.0,2537.0,95897.0,946300.0,0.5732548359966358
San Juan,603,124.17081260364843,2016.960199004975,NISSAN,LEAF,Battery Electric Vehicle (BEV),449.0,154.0,86835.0,18350.0,0.7446102819237148
Skagit,937,132.91462113127002,2018.2540021344716,TESLA,LEAF,Battery Electric Vehicle (BEV),564.0,373.0,81765.0,132000.0,0.6019210245464247
Skamania,100,128.17,2018.95,TESLA,MODEL 3,Battery Electric Vehicle (BEV),53.0,47.0,84879.0,12000.0,0.53
Snohomish,8086,139.14135542913678,2018.4209745238684,TESLA,MODEL 3,Battery Electric Vehicle (BEV),5204.0,2882.0,104833.0,859800.0,0.6435814988869651
Spokane,2277,112.29249011857708,2018.8779095300833,TESLA,MODEL 3,Plug-in Hybrid Electric Vehicle (PHEV),1117.0,1160.0,71390.0,554600.0,0.49055775142731667
Stevens,116,112.35344827586206,2018.4396551724137,TESLA,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),53.0,63.0,67947.0,47350.0,0.45689655172413796
Thurston,3086,124.24789371354504,2018.2365521710954,TESLA,LEAF,Battery Electric Vehicle (BEV),1760.0,1326.0,91522.0,303400.0,0.5703175631885936
Wahkiakum,35,138.6,2018.857142857143,TESLA,PRIUS PRIME,Battery Electric Vehicle (BEV),18.0,17.0,72444.0,4550.0,0.5142857142857142
Walla Walla,227,115.0,2018.5330396475772,TESLA,MODEL 3,Battery Electric Vehicle (BEV),114.0,113.0,68768.0,63100.0,0.5022026431718062
Whatcom,2239,121.48280482358196,2017.9267530147388,NISSAN,LEAF,Battery Electric Vehicle (BEV),1393.0,846.0,81432.0,235800.0,0.6221527467619473
Whitman,165,98.81818181818181,2018.7272727272727,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),67.0,98.0,56232.0,48100.0,0.40606060606060607
Yakima,501,119.94011976047904,2018.6706586826347,TESLA,MODEL 3,Battery Electric Vehicle (BEV),251.0,250.0,65167.0,261200.0,0.500998003992016
